Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","050","Bangladesh","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2022","2022","kg/cap","4.48","E","Estimated value",""
"FBS","Food Balances (2010-)","050","Bangladesh","645","Food supply quantity (kg/capita/yr)","S2946","Animal fats","2022","2022","kg/cap","0.37","E","Estimated value",""
"FBS","Food Balances (2010-)","050","Bangladesh","645","Food supply quantity (kg/capita/yr)","S2948","Milk - Excluding Butter","2022","2022","kg/cap","71.52","E","Estimated value",""
"FBS","Food Balances (2010-)","052","Barbados","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2022","2022","kg/cap","115.46","E","Estimated value",""
"FBS","Food Balances (2010-)","052","Barbados","645","Food supply quantity (kg/capita/yr)","S2909","Sugar & Sweeteners","2022","2022","kg/cap","53.46","E","Estimated value",""
"FBS","Food Balances (2010-)","052","Barbados","645","Food supply quantity (kg/capita/yr)","S2914","Vegetable Oils","2022","2022","kg/cap","11.25","E","Estimated value",""
"FBS","Food Balances (2010-)","052","Barbados","645","Food supply quantity (kg/capita/yr)","S2919","Fruits - Excluding Wine","2022","2022","kg/cap","123.27","E","Estimated value",""
"FBS","Food Balances (2010-)","052","Barbados","645","Food supply quantity (kg/capita/yr)","S2924","Alcoholic Beverages","2022","2022","kg/cap","45.98","E","Estimated value",""
"FBS","Food Balances (2010-)","052","Barbados","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2022","2022","kg/cap","79.67","E","Estimated value",""
"FBS","Food Balances (2010-)","052","Barbados","645","Food supply quantity (kg/capita/yr)","S2946","Animal fats","2022","2022","kg/cap","6.55","E","Estimated value",""
"FBS","Food Balances (2010-)","052","Barbados","645","Food supply quantity (kg/capita/yr)","S2948","Milk - Excluding Butter","2022","2022","kg/cap","120.06","E","Estimated value",""
"FBS","Food Balances (2010-)","112","Belarus","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2022","2022","kg/cap","113.72","E","Estimated value",""
"FBS","Food Balances (2010-)","112","Belarus","645","Food supply quantity (kg/capita/yr)","S2909","Sugar & Sweeteners","2022","2022","kg/cap","61.33","E","Estimated value",""
"FBS","Food Balances (2010-)","112","Belarus","645","Food supply quantity (kg/capita/yr)","S2914","Vegetable Oils","2022","2022","kg/cap","13.6","E","Estimated value",""
"FBS","Food Balances (2010-)","112","Belarus","645","Food supply quantity (kg/capita/yr)","S2919","Fruits - Excluding Wine","2022","2022","kg/cap","64.09","E","Estimated value",""
"FBS","Food Balances (2010-)","112","Belarus","645","Food supply quantity (kg/capita/yr)","S2924","Alcoholic Beverages","2022","2022","kg/cap","83.46","E","Estimated value",""
"FBS","Food Balances (2010-)","112","Belarus","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2022","2022","kg/cap","96.14","E","Estimated value",""
"FBS","Food Balances (2010-)","112","Belarus","645","Food supply quantity (kg/capita/yr)","S2946","Animal fats","2022","2022","kg/cap","12.01","E","Estimated value",""
"FBS","Food Balances (2010-)","112","Belarus","645","Food supply quantity (kg/capita/yr)","S2948","Milk - Excluding Butter","2022","2022","kg/cap","136.57","E","Estimated value",""
"FBS","Food Balances (2010-)","056","Belgium","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2022","2022","kg/cap","136.98","E","Estimated value",""
"FBS","Food Balances (2010-)","056","Belgium","645","Food supply quantity (kg/capita/yr)","S2909","Sugar & Sweeteners","2022","2022","kg/cap","51.26","E","Estimated value",""
"FBS","Food Balances (2010-)","056","Belgium","645","Food supply quantity (kg/capita/yr)","S2914","Vegetable Oils","2022","2022","kg/cap","11.81","E","Estimated value",""
"FBS","Food Balances (2010-)","056","Belgium","645","Food supply quantity (kg/capita/yr)","S2919","Fruits - Excluding Wine","2022","2022","kg/cap","95.07","E","Estimated value",""
